root;adce;basicaa;called_value_propagation;ee_instrument;gvn;inline;instcombine;ipsccp;jump_threading;licm;mergereturn;pgo_memop_opt;sccp;simplifycfg;sink;tailcallelim;y
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1701.8
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1689.0
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1824.4
1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1918.8
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1927.0
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1952.2
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1945.6
1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1925.0
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1929.2
1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1897.6
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1991.6
1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1943.4
1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1958.4
1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2037.6
1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1966.6
1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1981.2
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1935.2
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1909.6
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2017.4
1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1987.0
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2020.8
1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;2034.2
1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2019.4
1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;2065.6
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1996.8
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2035.2
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;2088.2
1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;2039.8
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2032.0
1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2139.0
1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;2050.8
1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;2089.2
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2024.0
1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2020.0
1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2116.6
1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2100.4
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2150.2
1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;2185.2
1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2176.0
1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;2139.2
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2102.0
1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2133.2
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2245.4
1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2235.0
1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2154.6
1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;2264.8
1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;2174.6
1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;2232.0
1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2121.2
1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2187.6
1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;2117.2
1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;2129.6
1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2244.2
1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;2212.4
1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;2232.6
1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;2231.6
1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2161.2
1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;2192.6
1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;2233.8
1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;2233.0
1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;2223.8
1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;2270.2
1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;2168.8
1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;2323.4
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1905.4
1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1868.2
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1951.8
1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1977.8
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1999.2
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;2012.6
1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1981.0
1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;2052.6
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2014.6
1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2003.2
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2008.2
1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;2036.8
1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2032.8
1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;2040.4
1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1987.2
1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;2101.8
1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2078.0
1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2046.6
1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2160.0
1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;2169.0
1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;2201.2
1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;2207.2
1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;2213.4
1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;2181.4
1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;2206.0
1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;2185.2
1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;2210.6
1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;2255.8
1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;2193.0
1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;2238.6
1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;2231.6
1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;2294.4
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1962.8
1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1968.4
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2076.8
1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;2062.0
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2070.2
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;2112.8
1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;2086.8
1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;2126.0
1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2206.8
1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;2163.0
1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;2315.0
1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;2251.0
1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;2289.4
1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;2262.6
1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;2240.2
1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;2325.0
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2070.8
1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;2099.4
1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;2109.4
1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;2096.0
1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;2291.8
1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;2274.4
1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;2282.2
1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;2311.0
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;2112.0
1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;2148.6
1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;2307.4
1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;2316.8
1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;2162.8
1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;2368.8
1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;2132.8
1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;1;2315.0
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1860.0
1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1847.2
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1916.2
1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1933.6
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1946.0
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1970.6
1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1961.8
1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1972.8
1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1946.2
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1928.0
1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1991.0
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;2013.2
1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1968.6
1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;2012.0
1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1993.0
1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;2036.8
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1939.4
1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1925.6
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;2024.0
1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;2011.4
1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2046.4
1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;2041.0
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;2038.8
1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;2055.0
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2029.0
1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2054.4
1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;2053.8
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;2079.0
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;2103.8
1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;2108.8
1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;2067.8
1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;2124.4
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1918.0
1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1886.0
1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1950.4
1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1994.2
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1995.0
1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;2046.0
1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2064.6
1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;2037.2
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2002.8
1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1965.6
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;2077.2
1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;2132.4
1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;2053.4
1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;2131.0
1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;2081.2
1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;2112.4
1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2005.8
1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;2000.2
1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;2006.2
1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;2011.4
1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;2089.8
1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;2078.8
1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;2098.0
1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;2106.2
1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;2050.6
1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;2041.4
1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;2127.0
1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;2127.0
1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;2092.6
1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;2160.2
1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;2056.0
1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;2127.6
1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2015.6
1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2022.0
1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2112.6
1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;2117.2
1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2118.8
1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;2187.2
1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;2138.0
1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;2159.0
1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2157.4
1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;2140.2
1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;2195.0
1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;2174.8
1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;2186.8
1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;2192.2
1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;2162.4
1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;2201.2
1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;2085.8
1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;2077.8
1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;2182.4
1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;2134.6
1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;2221.2
1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;2224.2
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;2193.4
1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;2196.6
1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2213.4
1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;2216.8
1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;2220.6
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;2238.2
1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;2190.4
1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;2297.8
1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;2205.4
1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;2296.0
1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2095.4
1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;2068.2
1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;2205.4
1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;2208.8
1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;2210.4
1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;2224.4
1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;2250.6
1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;2264.6
1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;2150.4
1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;2196.4
1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;2258.4
1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;2277.6
1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;2253.4
1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;2303.0
1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;2276.8
1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;2284.2
1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;2240.6
1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;2212.4
1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;2223.0
1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;2272.0
1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;2268.6
1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;2272.2
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;2300.6
1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;2286.0
1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;2268.6
1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;2273.2
1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;2320.0
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;2323.0
1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;2323.8
1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;1;2349.8
1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;2273.0
1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;1;2329.6
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1951.8
1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1910.0
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2042.8
1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;2058.4
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2047.0
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2084.2
1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2090.0
1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;2099.8
1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2066.4
1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;2092.0
1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;2097.8
1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;2059.8
1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2067.6
1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;2113.6
1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;2108.4
1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;2114.0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2043.2
1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2080.0
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2131.2
1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;2135.4
1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;2177.8
1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;2198.8
1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;2181.4
1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;2165.8
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2173.0
1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;2174.6
1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;2203.8
1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;2238.8
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2212.8
1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;2210.2
1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;2189.6
1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;2249.2
1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2127.8
1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2151.2
1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2257.2
1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;2282.8
1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2295.6
1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;2279.6
1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;2320.0
1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;2311.0
1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2242.8
1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;2229.0
1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;2391.6
1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;2402.4
1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;2388.0
1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;2411.8
1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;2377.8
1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;2392.2
1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;2330.0
1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;2287.8
1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;2313.4
1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;2310.6
1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;2397.8
1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;2359.4
1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;2403.2
1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;2385.8
1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;2306.6
1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;2345.6
1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;2451.4
1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;2424.6
1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;2366.0
1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;1;2460.4
1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;2360.0
1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;2455.0
1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1922.2
1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1940.0
1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2032.2
1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;2055.4
1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2045.8
1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;2103.6
1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;2095.6
1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;2087.0
1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2125.0
1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;2057.2
1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;2129.0
1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;2118.8
1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;2062.0
1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;2125.4
1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;2097.0
1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;2125.4
1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;2162.2
1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;2156.4
1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;2273.2
1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;2266.2
1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;2282.6
1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;2292.8
1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;2287.2
1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;2303.2
1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;2285.4
1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;2314.2
1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;2318.0
1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;2332.6
1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;2357.4
1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;2352.8
1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;2312.4
1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;2351.0
